,rating,title,path,platform,score,genre,gamers_choice,release_year,release_month,release_day,
34,Good,War of the Roses,/games/war-of-the-roses-140577/pc-115849,PC,7.3,Action,N,2015,10,3,
35,Amazing,Pokemon Black Version 2,/games/pokemon-black-version-2/nds-129224,Nintendo DS,9.6,RPG,Y,2015,10,3,
36,Okay,Drakerider,/games/drakerider/iphone-135745,iPhone,6.5,RPG,N,2015,10,3,
37,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/xbox-360-135872,Xbox 360,9,Adventure,Y,2015,8,28,
38,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/pc-135874,PC,9,Adventure,Y,2015,8,28,
39,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/ps3-135873,PlayStation 3,9,Adventure,Y,2015,8,28,
40,Great,Rock Band Blitz,/games/rock-band-blitz/xbox-360-131273,Xbox 360,8.5,Music,Y,2015,8,27,
41,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/mac-116695,Macintosh,8,Shooter,N,2015,8,27,
42,Great,Worms Revolution,/games/worms-revolution/ps3-131184,PlayStation 3,8.5,Strategy,N,2015,10,2,
43,Great,Worms Revolution,/games/worms-revolution/pc-131183,PC,8.5,Strategy,N,2015,10,2,
44,Great,Worms Revolution,/games/worms-revolution/xbox-360-131185,Xbox 360,8.5,Strategy,N,2015,10,2,
45,Amazing,Bad Piggies,/games/bad-piggies/iphone-141455,iPhone,9.2,Action,Y,2015,10,1,
46,Good,Resident Evil 6,/games/resident-evil-6/ps3-85710,PlayStation 3,7.9,"Action, Adventure",N,2015,10,1,
47,Good,Resident Evil 6,/games/resident-evil-6/xbox-360-117995,Xbox 360,7.9,"Action, Adventure",N,2015,10,1,
48,Good,Shad'O,/games/shado/pc-141293,PC,7,Adventure,N,2015,9,28,
49,Okay,Demon's Score,/games/demons-score/iphone-118050,iPhone,6.9,Action,N,2015,9,27,
50,Amazing,NBA 2K13,/games/nba-2k13/xbox-360-132080,Xbox 360,9.1,Sports,Y,2015,9,27,
51,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/pc-115451,PC,8,Shooter,N,2015,8,27,
52,Amazing,The World Ends with You: Solo Remix,/games/the-world-ends-with-you-solo-remix/ipad-140661,iPad,9.5,RPG,Y,2015,8,27,
53,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/ps3-115453,PlayStation 3,8,Shooter,N,2015,8,27,
54,Amazing,The World Ends with You: Solo Remix,/games/the-world-ends-with-you-solo-remix/iphone-140269,iPhone,9.5,RPG,Y,2015,8,27,
55,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/xbox-360-115452,Xbox 360,8,Shooter,N,2015,8,27,
56,Okay,Madden NFL 13,/games/madden-nfl-2013/vita-128100,PlayStation Vita,6,Sports,N,2015,8,24,
57,Amazing,Madden NFL 13,/games/madden-nfl-2013/ps3-128098,PlayStation 3,9,Sports,Y,2015,8,24,
58,Amazing,Madden NFL 13,/games/madden-nfl-2013/xbox-360-128097,Xbox 360,9,Sports,Y,2015,8,24,
59,Painful,Hoodwink,/games/hoodwink/pc-136672,PC,2.5,Adventure,N,2015,8,23,
60,Amazing,NBA 2K13,/games/nba-2k13/ps3-132077,PlayStation 3,9.1,Sports,Y,2015,9,27,
61,Amazing,NBA 2K13,/games/nba-2k13/pc-140490,PC,9.1,Sports,Y,2015,9,27,
62,Good,Lili: Child of Geos,/games/lili/iphone-138013,iPhone,7,Adventure,N,2015,9,26,
63,Great,Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/xbox-360-137157,Xbox 360,8.2,Fighting,N,2015,9,26,
64,Great,Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/ps3-137160,PlayStation 3,8.2,Fighting,N,2015,9,26,
65,Great,Dead or Alive 5,/games/dead-or-alive-5/ps3-117918,PlayStation 3,8.8,Fighting,N,2015,9,25,
66,Great,Dead or Alive 5,/games/dead-or-alive-5/xbox-360-866449,Xbox 360,8.8,Fighting,N,2015,9,25,
67,Bad,Medal of Honor Warfighter,/games/medal-of-honor-warfighter/pc-101082,PC,4,Shooter,N,2015,10,26,
68,Great,Professor Layton and the Miracle Mask,/games/professor-layton-and-the-mask-of-miracle/3ds-77742,Nintendo 3DS,8.7,Adventure,Y,2015,10,26,
69,Great,Hotline Miami,/games/hotline-miami/pc-139657,PC,8.8,Action,Y,2015,10,26,
70,Okay,Edna & Harvey: Harvey's New Eyes,/games/edna-harvey-harveys-new-eyes/pc-145776,PC,6,Adventure,N,2015,10,26,
71,Bad,Medal of Honor Warfighter,/games/medal-of-honor-warfighter/ps3-101085,PlayStation 3,4,Shooter,N,2015,10,26,
72,Bad,Medal of Honor Warfighter,/games/medal-of-honor-warfighter/xbox-360-101086,Xbox 360,4,Shooter,N,2015,10,26,
73,Great,Transformers: Fall of Cybertron,/games/transformers-fall-of-cybertron/xbox-360-92426,Xbox 360,8.5,Shooter,N,2015,8,21,
74,Great,Transformers: Fall of Cybertron,/games/transformers-fall-of-cybertron/ps3-92425,PlayStation 3,8.5,Shooter,N,2015,8,21,
75,Amazing,Hero Academy,/games/hero-academy-136971/pc-122908,PC,9,Board,Y,2015,8,20,
76,Amazing,Hero Academy,/games/hero-academy-136971/iphone-122803,iPhone,9,Strategy,Y,2015,8,20,
77,Amazing,Puzzle Craft,/games/puzzlecraft/iphone-134348,iPhone,9,Puzzle,Y,2015,8,17,
78,Mediocre,Realms Of Ancient War,/games/realms-of-ancient-war/xbox-360-111182,Xbox 360,5.5,Action,N,2015,9,24,
79,Mediocre,Realms Of Ancient War,/games/realms-of-ancient-war/ps3-111181,PlayStation 3,5.5,Action,N,2015,9,24,
80,Great,Anomaly: Warzone Earth,/games/anomaly-warzone-earth/ps3-138479,PlayStation 3,8.2,Action,N,2015,9,23,
81,Good,Darksiders II,/games/darksiders-2/pc-91963,PC,7.5,Action,N,2015,8,17,
82,Good,Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/mac-140189,Macintosh,7,Shooter,N,2015,8,17,
83,Good,Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/pc-140187,PC,7,Shooter,N,2015,8,17,
84,Amazing,Puzzle Craft,/games/puzzlecraft/android-134352,Android,9,Puzzle,Y,2015,8,17,
85,Good,Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/xbox-360-140188,Xbox 360,7,Shooter,N,2015,8,17,
86,Amazing,Horn,/games/horn/iphone-136814,iPhone,9,"Action, Adventure",Y,2015,8,16,
87,Amazing,Forza Horizon,/games/forza-horizon/xbox-360-129564,Xbox 360,9,Racing,Y,2015,10,12,
88,Bad,FIFA Soccer 13,/games/fifa-2013/vita-115689,PlayStation Vita,4,Sports,N,2015,10,12,
89,Awful,Mugen Souls,/games/mugen-souls/ps3-120256,PlayStation 3,3.9,"Strategy, RPG",N,2015,10,12,
90,Good,Crazy Taxi,/games/crazy-taxi/iphone-144755,iPhone,7.1,"Racing, Action",N,2015,10,11,
91,Mediocre,New Little King's Story,/games/new-kings-story/vita-116369,PlayStation Vita,5.8,RPG,N,2015,10,11,
92,Good,Fable: The Journey,/games/fable-the-journey/xbox-360-27948,Xbox 360,7.2,"Action, RPG",N,2015,10,9,
93,Great,The Lord of the Rings Online: Riders of Rohan,/games/the-lord-of-the-rings-online-riders-of-rohan/pc-127207,PC,8.3,RPG,N,2015,10,26,
94,Good,Doom 3: BFG Edition,/games/doom-3/xbox-360-135333,Xbox 360,7.6,RPG,N,2015,10,25,
95,Okay,Rugby League Live 2,/games/rugby-league-live-2/xbox-360-136983,Xbox 360,6,Sports,N,2015,10,25,
96,Okay,Rugby League Live 2,/games/rugby-league-live-2/ps3-136984,PlayStation 3,6,Sports,N,2015,10,25,
97,Good,Doom 3: BFG Edition,/games/doom-3/ps3-135329,PlayStation 3,7.6,RPG,N,2015,10,25,
98,Amazing,Punch Quest,/games/punch-quest/iphone-136667,iPhone,9.3,Action,Y,2015,10,25,
99,Okay,He-Man: The Most Powerful Game in the Universe,/games/he-man-the-most-powerful-game-in-the-universe/iphone-144763,iPhone,6.8,Action,N,2015,10,25,
100,Good,Doom 3: BFG Edition,/games/doom-3/pc-135338,PC,7.6,RPG,N,2015,10,25,
101,Great,Dokuro,/games/dokuro/vita-130906,PlayStation Vita,8.8,Puzzle,N,2015,10,19,
102,Painful,Naughty Bear: Panic in Paradise,/games/naughty-bear-panic-in-paradise/xbox-360-135404,Xbox 360,2.3,Action,N,2015,10,18,
103,Painful,Naughty Bear: Panic in Paradise,/games/naughty-bear-panic-in-paradise/ps3-135407,PlayStation 3,2.3,Action,N,2015,10,18,
104,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/ps3-145419,PlayStation 3,7.5,"Shooter, RPG",N,2015,10,18,
105,Great,Skylanders Giants,/games/skylanders-giants/ps3-128142,PlayStation 3,8,"Action, Adventure",N,2015,10,18,
106,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/pc-145418,PC,7.5,"Shooter, RPG",N,2015,10,18,
107,Great,Rayman: Jungle Run,/games/rayman-jungle-run/iphone-141641,iPhone,8.8,Platformer,N,2015,9,20,
108,Amazing,FIFA Soccer 13,/games/fifa-2013/pc-115688,PC,9,Sports,Y,2015,9,20,
109,Amazing,FIFA Soccer 13,/games/fifa-2013/ps3-115679,PlayStation 3,9,Sports,Y,2015,9,20,
110,Amazing,Torchlight II,/games/torchlight-ii/pc-82633,PC,9.1,"Action, RPG",Y,2015,9,20,
111,Amazing,FIFA Soccer 13,/games/fifa-2013/xbox-360-115691,Xbox 360,9,Sports,Y,2015,9,20,
112,Bad,The Sims 3: Supernatural,/games/the-sims-3-supernatural/pc-136180,PC,4.5,Simulation,N,2015,9,19,
113,Good,Retro/Grade,/games/retrograde-138590/ps3-21766,PlayStation 3,7,,N,2015,8,15,
114,Amazing,Iron Brigade,/games/iron-brigade/pc-121033,PC,9,Action,Y,2015,8,15,
115,Okay,Cafeteria Nipponica,/games/cafeteria-nipponica/iphone-139633,iPhone,6,Simulation,N,2015,8,15,
116,Great,Sleeping Dogs,/games/sleeping-dogs/xbox-360-14279324,Xbox 360,8.5,Action,N,2015,8,14,
117,Great,Sleeping Dogs,/games/sleeping-dogs/ps3-55068,PlayStation 3,8.5,Action,N,2015,8,14,
118,Good,Darksiders II,/games/darksiders-2/ps3-14336767,PlayStation 3,7.5,Action,N,2015,8,14,
119,Bad,Papo & Yo,/games/papo-and-yo/ps3-110267,PlayStation 3,4,Adventure,N,2015,8,14,
120,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/pc-135879,PC,7.5,Adventure,N,2015,10,9,
121,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/ipad-135882,iPad,7.5,Adventure,N,2015,10,9,
122,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/ps3-135880,PlayStation 3,7.5,Adventure,N,2015,10,9,
123,Mediocre,Cortex Command,/games/cortex-command/pc-14333880,PC,5,"Action, Simulation",N,2015,10,9,
124,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/xbox-360-135881,Xbox 360,7.5,Adventure,N,2015,10,9,
125,Good,Derrick the Deathfin,/games/derrick-the-deathfin-133942/ps3-129921,PlayStation 3,7.4,Action,N,2015,10,9,
126,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/mac-135878,Macintosh,7.5,Adventure,N,2015,10,9,
127,Great,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/xbox-360-126074,Xbox 360,8.2,Strategy,N,2015,10,8,
128,Great,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/pc-126070,PC,8.2,Strategy,N,2015,10,8,
129,Okay,Silent Hill: Book of Memories,/games/silent-hill-book-of-memories/vita-110040,PlayStation Vita,6,Adventure,N,2015,10,24,
130,Good,Diaspora: Shattered Armistice,/games/diaspora-shattered-armistice/pc-145951,PC,7.4,"Flight, Action",N,2015,10,24,
131,Okay,Pocket Clothier,/games/pocket-clothier/iphone-145621,iPhone,6.6,Strategy,N,2015,10,24,
132,Okay,Pocket Clothier,/games/pocket-clothier/android-145958,Android,6.6,Strategy,N,2015,10,24,
133,Okay,Ravaged,/games/ravaged-135376/pc-128650,PC,6.7,Shooter,N,2015,10,23,
134,Okay,True Skate,/games/true-skate/iphone-145482,iPhone,6.7,Sports,N,2015,10,23,
135,Amazing,Zero Escape: Virtue's Last Reward,/games/virtues-last-reward/3ds-116383,Nintendo 3DS,9.5,Adventure,Y,2015,10,23,
136,Amazing,Zero Escape: Virtue's Last Reward,/games/virtues-last-reward/vita-116380,PlayStation Vita,9.5,Adventure,Y,2015,10,23,
137,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/ipad-135871,iPad,9,Adventure,Y,2015,10,22,
138,Great,Skylanders Giants,/games/skylanders-giants/xbox-360-128140,Xbox 360,8,"Action, Adventure",N,2015,10,18,
139,Great,Skylanders Giants,/games/skylanders-giants/wii-128141,Wii,8,"Action, Adventure",N,2015,10,18,
140,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/xbox-360-145420,Xbox 360,7.5,"Shooter, RPG",N,2015,10,18,
141,Great,Devil's Attorney,/games/devils-attorney/android-145462,Android,8.3,Strategy,N,2015,10,17,
142,Great,Devil's Attorney,/games/devils-attorney/iphone-145099,iPhone,8.3,Strategy,N,2015,10,17,
143,Okay,Code of Princess,/games/code-of-princess-135813/3ds-125676,Nintendo 3DS,6.9,"Action, RPG",N,2015,10,17,
144,Great,SunFlowers,/games/sun-flowers-134128/vita-132435,PlayStation Vita,8,Puzzle,N,2015,10,17,
145,Bad,007 Legends,/games/007-legends/xbox-360-132394,Xbox 360,4.5,Action,N,2015,10,16,
146,Amazing,Super Hexagon,/games/super-hexagon/iphone-143440,iPhone,9,Action,N,2015,9,19,
147,Great,Machinarium,/games/machinarium/ps3-110942,PlayStation 3,8,Adventure,N,2015,9,18,
148,Great,Final Fantasy Dimensions,/games/final-fantasy-dimensions/iphone-135306,iPhone,8,RPG,N,2015,9,18,
149,Great,They Bleed Pixels,/games/they-bleed-pixels/pc-141012,PC,8.2,Platformer,N,2015,9,18,
150,Good,Jet Set Radio,/games/jet-set-radio/vita-135073,PlayStation Vita,7.5,Action,N,2015,9,17,
151,Good,Jet Set Radio,/games/jet-set-radio/ps3-129168,PlayStation 3,7.5,Action,N,2015,9,17,
152,Good,Jet Set Radio,/games/jet-set-radio/xbox-360-129165,Xbox 360,7.5,Action,N,2015,9,17,
153,Great,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/xbox-360-133009,Xbox 360,8.5,Sports,Y,2015,9,17,
154,Amazing,F1 2012,/games/f1-2012/pc-130383,PC,9,Racing,Y,2015,9,17,
155,Good,Darksiders II,/games/darksiders-2/xbox-360-14336768,Xbox 360,7.5,Action,N,2015,8,14,
156,Good,Pitfall,/games/pitfall-working-title/iphone-137420,iPhone,7,Platformer,N,2015,8,13,
157,Great,Dust: An Elysian Tail,/games/dust-an-elysian-tail-139696/xbox-360-77719,Xbox 360,8.5,Platformer,N,2015,8,13,
158,Great,Hybrid,/games/hybrid-140542/xbox-360-37860,Xbox 360,8,Shooter,N,2015,8,13,
159,Mediocre,The Dark Knight Rises,/games/the-dark-knight-rises/iphone-130653,iPhone,5.5,Action,N,2015,8,10,
160,Good,10000000,/games/10000000/iphone-139135,iPhone,7.5,,N,2015,8,9,
161,Okay,The Political Machine 2012,/games/the-political-machine-2012/pc-131306,PC,6.5,Strategy,N,2015,8,9,
162,Amazing,Sound Shapes,/games/sound-shapes-queasy-games/ps3-135578,PlayStation 3,9,Platformer,Y,2015,8,8,
163,Amazing,Sound Shapes,/games/sound-shapes-queasy-games/vita-110145,PlayStation Vita,9,Platformer,Y,2015,8,8,
164,Okay,One Piece: Pirate Warriors,/games/one-piece-pirate-warriors/ps3-116782,PlayStation 3,6,Action,N,2015,10,8,
165,Great,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/ps3-126073,PlayStation 3,8.2,Strategy,N,2015,10,8,
166,Amazing,Dishonored,/games/dishonored/xbox-360-112932,Xbox 360,9.2,Action,Y,2015,10,7,
167,Amazing,Dishonored,/games/dishonored/pc-112928,PC,9.2,Action,Y,2015,10,7,
168,Amazing,Dishonored,/games/dishonored/ps3-112931,PlayStation 3,9.2,Action,Y,2015,10,7,
169,Good,Angry Birds Trilogy,/games/angry-birds-trilogy/3ds-82424,Nintendo 3DS,7,"Puzzle, Action",N,2015,10,6,
170,Good,Angry Birds Trilogy,/games/angry-birds-trilogy/xbox-360-88826,Xbox 360,7,"Puzzle, Action",N,2015,10,6,
171,Good,Angry Birds Trilogy,/games/angry-birds-trilogy/ps3-135852,PlayStation 3,7,"Puzzle, Action",N,2015,10,6,
172,Great,Girls Like Robots,/games/girls-like-robots/iphone-145093,iPhone,8.5,Puzzle,N,2015,10,19,
173,Bad,Happy Wars,/games/happy-wars/xbox-360-64840,Xbox 360,4,Action,N,2015,10,19,
174,Bad,007 Legends,/games/007-legends/ps3-132391,PlayStation 3,4.5,Action,N,2015,10,16,
175,Amazing,Funky Smugglers,/games/funky-smugglers/iphone-145106,iPhone,9,Action,Y,2015,10,16,
176,Okay,Colour Bind,/games/colour-bind/pc-143757,PC,6.2,,N,2015,10,15,
177,Mediocre,WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/xbox-360-131357,Xbox 360,5,Racing,N,2015,10,15,
178,Mediocre,WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/pc-131360,PC,5,Racing,N,2015,10,15,
179,Mediocre,Retro City Rampage,/games/retro-city-rampage/ps3-128971,PlayStation 3,5.3,"Action, Adventure",N,2015,10,15,
180,Mediocre,Retro City Rampage,/games/retro-city-rampage/pc-129032,PC,5.3,"Action, Adventure",N,2015,10,15,
181,Great,Dance Central 3,/games/dance-central-3/xbox-360-135601,Xbox 360,8,Music,N,2015,10,15,
182,Mediocre,WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/ps3-131361,PlayStation 3,5,Racing,N,2015,10,15,
183,Mediocre,Snapshot,/games/snapshot/pc-143174,PC,5,Platformer,N,2015,9,17,
184,Amazing,F1 2012,/games/f1-2012/ps3-130382,PlayStation 3,9,Racing,Y,2015,9,17,
185,Great,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/ps3-133012,PlayStation 3,8.5,Sports,Y,2015,9,17,
186,Amazing,F1 2012,/games/f1-2012/xbox-360-130379,Xbox 360,9,Racing,Y,2015,9,17,
187,Great,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/pc-133014,PC,8.5,Sports,Y,2015,9,17,
188,Amazing,Borderlands 2,/games/borderlands-2/xbox-360-94188,Xbox 360,9,"Shooter, RPG",Y,2015,9,13,
189,Amazing,Borderlands 2,/games/borderlands-2/pc-94190,PC,9,"Shooter, RPG",Y,2015,9,13,
190,Great,Joe Danger: The Movie,/games/joe-danger-the-movie/xbox-360-115463,Xbox 360,8,Action,N,2015,9,13,
191,Amazing,Borderlands 2,/games/borderlands-2/ps3-94189,PlayStation 3,9,"Shooter, RPG",Y,2015,9,13,
192,Amazing,Sound Shapes,/games/sound-shapes-queasy-games/ps4-20007461,PlayStation 4,9,Platformer,Y,2015,8,8,
193,Amazing,Persona 4 Arena,/games/persona-4-arena/ps3-116910,PlayStation 3,9,Fighting,Y,2015,8,7,
194,Amazing,Persona 4 Arena,/games/persona-4-arena/xbox-360-116913,Xbox 360,9,Fighting,Y,2015,8,7,
195,Bad,Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/pc-129413,PC,4.9,Platformer,N,2015,10,4,
196,Bad,Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/xbox-360-129412,Xbox 360,4.9,Platformer,N,2015,10,4,
197,Mediocre,Retro City Rampage,/games/retro-city-rampage/vita-128972,PlayStation Vita,5.3,"Action, Adventure",N,2015,10,15,
198,Amazing,The Unfinished Swan,/games/the-unfinished-swan/ps3-133433,PlayStation 3,9,Puzzle,Y,2015,10,14,
199,Great,Tokyo Jungle,/games/tokyo-jungle-139049/ps3-85484,PlayStation 3,8,Adventure,N,2015,9,13,
200,Amazing,Halo 4,/games/halo-4/xbox-360-110563,Xbox 360,9.8,Shooter,Y,2015,11,1,
201,Amazing,Halo 4 (Limited Edition),/games/halo-4/xbox-360-134637,Xbox 360,9.8,Shooter,Y,2015,11,1,
202,Good,Zone of the Enders HD Collection,/games/zone-of-the-enders-hd-collection/ps3-110049,PlayStation 3,7,"Action, Compilation",N,2015,11,1,
203,Great,Harvest Moon: A New Beginning,/games/harvest-moon-hajimari-no-daichi/3ds-120299,Nintendo 3DS,8.3,Adventure,N,2015,11,1,
204,Good,Zone of the Enders HD Collection,/games/zone-of-the-enders-hd-collection/xbox-360-110060,Xbox 360,7,"Action, Compilation",N,2015,11,1,
205,Okay,Borderlands Legends,/games/borderlands-legends/iphone-145721,iPhone,6.5,"Action, RPG",N,2015,10,31,
206,Okay,Borderlands Legends,/games/borderlands-legends/ipad-145832,iPad,6.5,"Action, RPG",N,2015,10,31,
207,Amazing,Okami HD,/games/okami/ps3-136378,PlayStation 3,9.4,Adventure,Y,2015,10,30,
208,Mediocre,Ragnarok Odyssey,/games/ragnarok-odyssey/vita-117348,PlayStation Vita,5,RPG,N,2015,10,30,
209,Okay,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/iphone-135825,iPhone,6.9,"Racing, Action",N,2015,10,30,
210,Good,Pid,/games/pid/xbox-360-124089,Xbox 360,7.8,Platformer,N,2015,10,30,
211,Good,Pid,/games/pid/pc-124085,PC,7.8,Platformer,N,2015,10,30,
212,Good,Pid,/games/pid/ps3-124088,PlayStation 3,7.8,Platformer,N,2015,10,30,
213,Amazing,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/ps3-126560,PlayStation 3,9,"Racing, Action",Y,2015,10,30,
214,Great,Assassin's Creed III,/games/assassins-creed-iii/xbox-360-128701,Xbox 360,8.5,"Action, Adventure",N,2015,10,30,
215,Amazing,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/xbox-360-135486,Xbox 360,9,"Racing, Action",Y,2015,10,30,
216,Good,Assassin's Creed III: Liberation,/games/assassins-creed-vita/vita-115670,PlayStation Vita,7.2,Action,N,2015,10,30,
217,Great,Smart As...,/games/smart-as-135038/vita-98920,PlayStation Vita,8.5,"Educational, Puzzle",N,2015,10,30,
218,Great,Assassin's Creed III,/games/assassins-creed-iii/ps3-128700,PlayStation 3,8.5,"Action, Adventure",N,2015,10,30,
219,Amazing,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/pc-135628,PC,9,"Racing, Action",Y,2015,10,30,
220,Great,WWE '13,/games/wwe-13/ps3-127917,PlayStation 3,8.4,Wrestling,N,2015,10,29,
221,Okay,Street Fighter x Tekken,/games/street-fighter-x-tekken/vita-110720,PlayStation Vita,6.6,Fighting,N,2015,10,29,
222,Great,WWE '13,/games/wwe-13/xbox-360-127923,Xbox 360,8.4,Wrestling,N,2015,10,29,
223,Good,Chivalry: Medieval Warfare,/games/chivalry-medieval-warfare-142591/pc-75122,PC,7.9,Adventure,N,2015,10,29,
224,Good,Sonic Jump,/games/sonic-jump-2012/iphone-144482,iPhone,7.5,Platformer,N,2015,10,29,
225,Mediocre,F1 Race Stars,/games/f1-race-stars/xbox-360-137846,Xbox 360,5.2,Racing,N,2015,11,13,
226,Amazing,Call of Duty: Black Ops II,/games/call-of-duty-black-ops-ii/pc-126314,PC,9.3,Shooter,Y,2015,11,13,
227,Mediocre,F1 Race Stars,/games/f1-race-stars/ps3-137849,PlayStation 3,5.2,Racing,N,2015,11,13,
